Code,Sévérité V 1.1,Description,Facteur,gauche,critere,metrique
CODSTA.ACDO,1,"Avoid using ""new"" keyword when creating String objects to hold string literals",performance,CODSTA,performance_CODSTA,performance_CODSTA_sev1
CODSTA.AUVT,3,Declare 'List' and 'Set' variables with the type of their interface ,evolutivite,CODSTA,evolutivite_CODSTA,evolutivite_CODSTA_sev3
CODSTA.CLONE,2,Declare 'clone () throws CloneNotSupportedException' for Cloneable class,architecture,CODSTA,architecture_CODSTA,architecture_CODSTA_sev2
CODSTA.DCI,3,Define constants in an “interface” ,architecture,CODSTA,architecture_CODSTA,architecture_CODSTA_sev3
CODSTA.DCTOR,3,Define a default constructor whenever possible ,reutilisabilite,CODSTA,reutilisabilite_CODSTA,reutilisabilite_CODSTA_sev3
CODSTA.IMPT,3,"Disallows the use of wild cards ('*') in ""import"" statements ",maintenabilite,CODSTA,maintenabilite_CODSTA,maintenabilite_CODSTA_sev3
CODSTA.LONG,2,Use ‘L’ instead of ‘l’ to express “long” integer constants ,maintenabilite,CODSTA,maintenabilite_CODSTA,maintenabilite_CODSTA_sev2
CODSTA.MVOS,3,Avoid declaring multiple variables in one statement ,maintenabilite,CODSTA,maintenabilite_CODSTA,maintenabilite_CODSTA_sev3
CODSTA.NCAC,2,"Avoid calling an ""abstract"" method from a constructor in an abstract class",fiabilite,CODSTA,fiabilite_CODSTA,fiabilite_CODSTA_sev2
CODSTA.NEA,1,Avoid nested assignments ,maintenabilite,CODSTA,maintenabilite_CODSTA,maintenabilite_CODSTA_sev1
CODSTA.NTX,3,"Avoid using ""throws"" Exception; Always use a subclass of 'Exception'",reutilisabilite,CODSTA,reutilisabilite_CODSTA,reutilisabilite_CODSTA_sev3
CODSTA.OGM,3,Organize methods by name ,maintenabilite,CODSTA,maintenabilite_CODSTA,maintenabilite_CODSTA_sev3
CODSTA.SMC,3,"Avoid “switch” statements with many ""case"" statements ",maintenabilite,CODSTA,maintenabilite_CODSTA,maintenabilite_CODSTA_sev3
CODSTA.UCC,2,"Declare only ""private"" constructors in utility classes ",architecture,CODSTA,architecture_CODSTA,architecture_CODSTA_sev2
CODSTA.UCDC,2,"Provide a ""private"" default constructor for utility classes ",architecture,CODSTA,architecture_CODSTA,architecture_CODSTA_sev2
CODSTA.VDT,1,Avoid declaring multiple variables of different types in one statement,maintenabilite,CODSTA,maintenabilite_CODSTA,maintenabilite_CODSTA_sev1
DBC.SYNTAX,2,Use correct syntax in the contracts ,maintenabilite,DBC,maintenabilite_DBC,maintenabilite_DBC_sev2
EJB.AMSC,2,Avoid accessing or modifying security configuration objects ,securite,EJB,securite_EJB,securite_EJB_sev2
EJB.CDP,1,"Declare bean classes ""public"" ",architecture,EJB,architecture_EJB,architecture_EJB_sev1
EJB.CNDA,1,"Do not declare bean classes as ""abstract"" ",architecture,EJB,architecture_EJB,architecture_EJB_sev1
EJB.CNDF,1,"Do not declare bean classes as ""final"" ",architecture,EJB,architecture_EJB,architecture_EJB_sev1
EJB.FNDM,1,"Declare finder methods ""public"" and neither ""final"" nor ""static"" ",architecture,EJB,architecture_EJB,architecture_EJB_sev1
EJB.NFDC,1,"Declare a ""public"" constructor that takes no parameters ",architecture,EJB,architecture_EJB,architecture_EJB_sev1
EJB.NFS,2,"Declare all ""static"" fields in the EJB component ""final"" ",architecture,EJB,architecture_EJB,architecture_EJB_sev2
EJB.RILH,1,Do not throw 'java.rmi.RemoteException' in a bean's local interface and local home interface,architecture,EJB,architecture_EJB,architecture_EJB_sev1
EJB.TCE,1,Throw 'javax.ejb.CreateException' in create methods of remote home or local home interfaces,architecture,EJB,architecture_EJB,architecture_EJB_sev1
EJB.TFE,1,Throw 'javax.ejb.FinderException' in finder methods of remote home or local home interfaces,architecture,EJB,architecture_EJB,architecture_EJB_sev1
EJB.THISARG,1,"Avoid passing the ""this"" reference as an argument ",architecture,EJB,architecture_EJB,architecture_EJB_sev1
EJB.THISRET,1,"Avoid returning ""this"" ",architecture,EJB,architecture_EJB,architecture_EJB_sev1
EJB.THREAD,2,Avoid starting  stopping  or managing threads in any way ,fiabilite,EJB,fiabilite_EJB,fiabilite_EJB_sev2
FORMAT.CBRACE,3,"Place closing ""}"" braces on their own line ",maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.CMS,3,Have at least one space after type casting ,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.FCB,3,Avoid placing '{' braces on their own line ,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.IAD,3,Declare arrays with the '[ ]' brackets after the array type and before the variable name(s),maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.IND,2,Use a multiple of four spaces for indentation ,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev2
FORMAT.JSPH,2,Provide a header comment for each JSP file ,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev2
FORMAT.NSAB,3,Avoid placing statements after '{' opening braces on the same line ,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.OSPL,1,Write one statement per line ,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev1
FORMAT.SAC,3,Place a single space character after every comma ,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.SAOP,3,Place a single space on each side of an assignment operator ,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.SAS,3,Place a single space character after every semicolon ,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.SAUOP,3,Avoid placing space between a prefixed unary operator and its operand,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.SBOP,3,Place a single space on each side of a bitwise operator ,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.SBUOP,3,Avoid placing space between a unary operator and its operand ,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.SC,3,"Place a single space between a conditional statement and the opening ""("" parenthesis",maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.SCOP,3,"Place a single space before and after the ""?"" conditional operator ",maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.SLOP,3,Place a single space on each side of a logical operator ,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.SROP,3,Place a single space on each side of a relational operator ,maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
FORMAT.UP,3,"Avoid using unnecessary parentheses in ""return"" statements ",maintenabilite,FORMAT,maintenabilite_FORMAT,maintenabilite_FORMAT_sev3
GC.AUTP,2,Avoid unnecessary temporaries when converting primitive types to String,performance,GC,performance_GC,performance_GC_sev2
GC.DUD,3,Avoid using ‘Date[]’; use ‘long[]’ instead ,performance,GC,performance_GC,performance_GC_sev3
GC.FCF,1,Always call 'super.finalize ()' from 'finalize ()' ,performance,GC,performance_GC,performance_GC_sev1
GC.IFF,2,"Call 'super.finalize ()' in the ""finally"" block of 'finalize ()' methods ",performance,GC,performance_GC,performance_GC_sev2
GC.NCF,1,Avoid calling 'finalize ()' explicitly ,performance,GC,performance_GC,performance_GC_sev1
GC.OSTM,2,Avoid potential memory leaks in ObjectStreams by calling 'reset (),performance,GC,performance_GC,performance_GC_sev2
GC.STV,3,Avoid “static” collections; they can grow without bounds ,fiabilite,GC,fiabilite_GC,fiabilite_GC_sev3
GLOBAL.DPAC,1,Declare package-private classes as inaccessible as possible ,maintenabilite,GLOBAL,maintenabilite_GLOBAL,maintenabilite_GLOBAL_sev1
GLOBAL.DPAF,1,Declare package-private fields as inaccessible as possible ,maintenabilite,GLOBAL,maintenabilite_GLOBAL,maintenabilite_GLOBAL_sev1
GLOBAL.DPAM,1,Declare package-private methods as inaccessible as possible ,maintenabilite,GLOBAL,maintenabilite_GLOBAL,maintenabilite_GLOBAL_sev1
GLOBAL.SPAC,2,"Declare a package-private class ""final"" if a class has not been subclassed",performance,GLOBAL,performance_GLOBAL,performance_GLOBAL_sev2
GLOBAL.SPAM,2,"Declare a package-private method ""final"" if a method has not been overridden",performance,GLOBAL,performance_GLOBAL,performance_GLOBAL_sev2
GLOBAL.UPAC,1,Avoid globally unused package-private classes ,fiabilite,GLOBAL,fiabilite_GLOBAL,fiabilite_GLOBAL_sev1
GLOBAL.UPAF,1,Avoid globally unused package-private fields ,fiabilite,GLOBAL,fiabilite_GLOBAL,fiabilite_GLOBAL_sev1
GLOBAL.UPAM,1,Avoid globally unused package-private methods ,fiabilite,GLOBAL,fiabilite_GLOBAL,fiabilite_GLOBAL_sev1
INIT.LV,3,Initialize all local variables explicitly at the declaration statement ,fiabilite,INIT,fiabilite_INIT,fiabilite_INIT_sev3
INIT.NFS,2,"Avoid using non-final ""static"" fields during the initialization ",fiabilite,INIT,fiabilite_INIT,fiabilite_INIT_sev2
INIT.SF,2,Explicitly initialize all “static” fields ,fiabilite,INIT,fiabilite_INIT,fiabilite_INIT_sev2
JAVADOC.MAJDT,3,"Use the '@author' Javadoc tag in ""class"" and ""interface"" Javadoc comments",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev3
JAVADOC.MRDC,1,"Use the '@return' Javadoc tag in ""public"" method Javadoc comments",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev1
JAVADOC.MRDC2,2,"Use the '@return' Javadoc tag in ""protected"" method Javadoc comments.",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev2
JAVADOC.MRDC3,3,"Use the '@return' Javadoc tag in ""private"" methods ",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev3
JAVADOC.MVJDT,3,"Use the '@version' tag in ""class"" Javadoc comments ",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev3
JAVADOC.PARAM,1,"Use the '@param' Javadoc tag for each parameter of ""public"" methods",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev1
JAVADOC.PARAM2,2,"Use the '@param' Javadoc tag for each parameter of ""protected"" methods",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev2
JAVADOC.PARAM3,3,Use the '@param' Javadoc tag for each parameter of package-private methods,maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev3
JAVADOC.PJDCC,1,"Provide Javadoc comments for ""public"" classes ",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev1
JAVADOC.PJDCC2,2,"Provide Javadoc comments for ""protected"" classes ",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev2
JAVADOC.PJDCC3,3,Provide Javadoc comments for package-private classes and interfaces,maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev3
JAVADOC.PJDCF,1,"Provide Javadoc comments for ""public"" fields ",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev1
JAVADOC.PJDCF2,2,"Provide Javadoc comments for ""protected"" fields ",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev2
JAVADOC.PJDCF3,3,Provide Javadoc comments for package-private fields ,maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev3
JAVADOC.PJDCM,1,"Provide Javadoc comments for ""public"" methods ",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev1
JAVADOC.PJDCM2,2,"Provide Javadoc comments for ""protected"" methods ",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev2
JAVADOC.PJDCM3,3,Provide Javadoc comments for package-private methods ,maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev3
JAVADOC.PJDCM4,3,"Provide Javadoc comments for ""private"" methods",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev3
JAVADOC.THROW,1,"Use the '@throws' or ‘@exception’ Javadoc tag in ""public"" methods",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev1
JAVADOC.THROW2,2,"Use the '@throws' or ‘@exception’ Javadoc tag in ""protected"" methods",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev2
JAVADOC.THROW3,3,Use the '@throws' or ‘@exception’ Javadoc tag in package-private methods,maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev3
JAVADOC.TSMJT,3,Provide Javadoc comment for 'toString ()' method ,maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev3
JAVADOC.VMCR,3,"Avoid using the '@return' Javadoc tag on ""void"" methods ",maintenabilite,JAVADOC,maintenabilite_JAVADOC,maintenabilite_JAVADOC_sev3
METRICS.CCNL,2,"Number of comment lines in a ""class"" or ""interface"" ",maintenabilite,METRICS,maintenabilite_METRICS,maintenabilite_METRICS_sev2
METRICS.CIHL,2,"Class or ""interface"" inheritance level ",fiabilite,METRICS,fiabilite_METRICS,fiabilite_METRICS_sev2
METRICS.CNLM,2,Number of comment lines in a method ,maintenabilite,METRICS,maintenabilite_METRICS,maintenabilite_METRICS_sev2
METRICS.CSNL,2,"Number of statement lines in a ""class"" or ""interface"" ",volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.CTNL,2,"Number of lines in ""class"" or ""interface"" ",maintenabilite,METRICS,maintenabilite_METRICS,maintenabilite_METRICS_sev2
METRICS.NOF,2,Number of fields ,volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.NOM,2,Number of methods ,volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.NPKGF,2,Number of package-private fields ,volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.NPKGM,2,Number of package-private methods ,volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.NPRIF,2,"Number of ""private"" fields ",volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.NPRIM,2,"Number of ""private"" methods ",volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.NPROF,2,"Number of ""protected"" fields ",volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.NPROM,2,"Number of ""protected"" methods ",volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.NPUBF,2,"Number of ""public"" fields ",fiabilite,METRICS,fiabilite_METRICS,fiabilite_METRICS_sev2
METRICS.NPUBM,2,"Number of ""public"" methods ",volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.PJDC,2,Percentage of Javadoc comments(%) ,volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.SNLM,2,Number of statement lines in a method ,volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.STMT,2,Number of statements in a method ,volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.TCC,2,Cyclomatic Complexity ,maintenabilite,METRICS,maintenabilite_METRICS,maintenabilite_METRICS_sev2
METRICS.TNLM,2,Number of lines in a method ,maintenabilite,METRICS,maintenabilite_METRICS,maintenabilite_METRICS_sev2
METRICS.TNMC,2,Number of method calls ,reutilisabilite,METRICS,reutilisabilite_METRICS,reutilisabilite_METRICS_sev2
METRICS.TNOP,2,Number of parameters ,volumetrieclass,METRICS,volumetrieclass_METRICS,volumetrieclass_METRICS_sev2
METRICS.TRET,2,"Number of ""return"" statements ",maintenabilite,METRICS,maintenabilite_METRICS,maintenabilite_METRICS_sev2
MISC.AFP,3,Avoid making assignments to method parameters ,fiabilite,MISC,fiabilite_MISC,fiabilite_MISC_sev3
MISC.ARN,3,"Return zero-length arrays instead of ""null"" ",fiabilite,MISC,fiabilite_MISC,fiabilite_MISC_sev3
MISC.ASFI,2,"Redeclare a class with only ""abstract"" methods and ""static final"" fields as an ""interface""",evolutivite,MISC,evolutivite_MISC,evolutivite_MISC_sev2
MISC.AUO,1,"Avoid using an object to access ""static"" fields or methods ",maintenabilite,MISC,maintenabilite_MISC,maintenabilite_MISC_sev1
MISC.BLKELSE,3,"Provide a '{}' block for ""else"" statements ",maintenabilite,MISC,maintenabilite_MISC,maintenabilite_MISC_sev3
MISC.BLKFOR,3,"Provide a '{}' block for ""for"" statements ",maintenabilite,MISC,maintenabilite_MISC,maintenabilite_MISC_sev3
MISC.BLKIF,3,"Provide a '{}' block for ""if"" statements ",maintenabilite,MISC,maintenabilite_MISC,maintenabilite_MISC_sev3
MISC.BLKWHL,3,"Provide a '{}' block for ""while"" statements ",maintenabilite,MISC,maintenabilite_MISC,maintenabilite_MISC_sev3
MISC.CLNC,1,Avoid using constructors in the 'clone ()' method ,evolutivite,MISC,evolutivite_MISC,evolutivite_MISC_sev1
MISC.CLONE,1,Call 'super.clone ()' in all 'clone ()' methods ,fiabilite,MISC,fiabilite_MISC,fiabilite_MISC_sev1
MISC.DPRAPI,1,Avoid using deprecated APIs ,reutilisabilite,MISC,reutilisabilite_MISC,reutilisabilite_MISC_sev1
MISC.FF,1,"Declare ""private"" constant fields ""final"" ",maintenabilite,MISC,maintenabilite_MISC,maintenabilite_MISC_sev1
MISC.FLV,3,"Declare constant local variables ""final"" ",maintenabilite,MISC,maintenabilite_MISC,maintenabilite_MISC_sev3
MISC.HMF,1,Avoid giving method local variables the same name as class fields,maintenabilite,MISC,maintenabilite_MISC,maintenabilite_MISC_sev1
MISC.PCIF,1,"Declare ""for"" loops with a condition and an increment statement ",maintenabilite,MISC,maintenabilite_MISC,maintenabilite_MISC_sev1
MISC.PCTOR,2,"Avoid non-public classes with ""public"" constructors ",architecture,MISC,architecture_MISC,architecture_MISC_sev2
MISC.PSFA,2,"Avoid using ""public static final"" array fields ",securite,MISC,securite_MISC,securite_MISC_sev2
MISC.UBD,3,"Avoid ""float"" and ""double"" if exact answers are required ",fiabilite,MISC,fiabilite_MISC,fiabilite_MISC_sev3
MISC.UST,2,Use 'StringTokenizer' instead of 'indexOf ()' or 'substring ()' for String parsing,fiabilite,MISC,fiabilite_MISC,fiabilite_MISC_sev2
NAMING.GETA,1,Prepend 'get' to the names of getter methods ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev1
NAMING.GETB,3,"Prepend 'is  can  has  have' to the names of ""boolean"" getter methods",maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev3
NAMING.IFV,2,"Use all uppercase letters for the names of fields in an ""interface"" ",maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.IRB,1,"Use 'is...' only for naming methods that return a ""boolean"" ",maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev1
NAMING.NCL,2,Enforce name format of classes ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NE,2,Enforce name format of exceptions ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NIF,2,Enforce name format of non-”static” fields ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NITF,2,Enforce name format of interfaces ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NLV,2,Enforce name format of local variables ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NM,2,Enforce name format of non-”static” methods ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NMP,2,Enforce name format of method parameters ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2
NAMING.NSF,2,Enforce name format of non-“final” “static” fields ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2,
NAMING.NSM,2,"Enforce name format of ""static"" methods ",maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2,
NAMING.PKG,3,"Use lowercase letters for “package"" names ",maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev3,
NAMING.SETA,2,Prepend 'set' to the names of setter methods ,maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2,
NAMING.USF,2,"Avoid lowercase letters in ""final"" ""static"" field names ",maintenabilite,NAMING,maintenabilite_NAMING,maintenabilite_NAMING_sev2,
OOP.AIC,1,"Make inner classes ""private""",fiabilite,OOP,fiabilite_OOP,fiabilite_OOP_sev1,
OOP.AHF,1,Avoid hiding inherited instance fields ,fiabilite,OOP,fiabilite_OOP,fiabilite_OOP_sev1,
OOP.AHSM,2,Avoid hiding inherited “static” member methods ,fiabilite,OOP,fiabilite_OOP,fiabilite_OOP_sev2,
OOP.APPF,2,Avoid “public” or package-private instance fields ,fiabilite,OOP,fiabilite_OOP,fiabilite_OOP_sev2,
OOP.APROF,2,Avoid “protected” instance fields ,fiabilite,OOP,fiabilite_OOP,fiabilite_OOP_sev2,
OOP.LEVEL,2,Avoid more than two levels of nested inner classes ,maintenabilite,OOP,maintenabilite_OOP,maintenabilite_OOP_sev2,
OOP.OPM,2,"Avoid overriding a ""private"" method ",maintenabilite,OOP,maintenabilite_OOP,maintenabilite_OOP_sev2,
OPT.AAS,3,Use abbreviated assignment operators ,performance,OPT,performance_OPT,performance_OPT_sev3,
OPT.CEL,2,Avoid calling methods in loop condition statements ,performance,OPT,performance_OPT,performance_OPT_sev2,
OPT.CS,1,Close streams in “finally” blocks ,performance,OPT,performance_OPT,performance_OPT_sev1,
OPT.DIC,3,Define initial capacities for ‘ArrayList’  ‘HashMap’  ‘HashSet’  ’Hashtable’  ’Vector’  and ‘WeakHashMap’,performance,OPT,performance_OPT,performance_OPT_sev3,
OPT.IRB,2,Use ‘System.arraycopy ()’ instead of using a loop to copy arrays ,performance,OPT,performance_OPT,performance_OPT_sev2
OPT.LOOP,2,Avoid instantiating variables in a loop body ,performance,OPT,performance_OPT,performance_OPT_sev2
